,text,x,y,size,context,quote
868,Serge Panine,-0.5795817,10.340726,5.732050807568877,"recherchait, forges, préférées, panine, serge","duquel il les avait préférées. S'il retournait à Serge Panine,
s'il recherchait les occasions d'aller voir"
869,Olivier Métra,-3.6278508,8.183893,5.0,"occasions, initié, recherchait, métra, olivier","
s'il recherchait les occasions d'aller voir conduire Olivier Métra, c'était
pour la douceur d'être initié"
870,"déjeuner
chez",-1.0891315,7.643443,5.0,"plaisir, autrefois, déjeuner, ridicule, galles","plus ridicule que le plaisir qu'il avait autrefois à déjeuner
chez le prince de Galles, de même, il ne"
871,Monte-Carlo,-2.1234462,7.4717374,6.82842712474619,"déraisonnable, superbe, aient, monte, carlo","pensait pas que l'admiration qu'elle
professait pour Monte-Carlo ou pour le Righi fût plus déraisonnable que le goût"
872,Righi,-2.4031453,7.552124,5.0,"monte, carlo, professait, déraisonnable, righi","elle
professait pour Monte-Carlo ou pour le Righi fût plus déraisonnable que le goût
qu'il avait"
873,Hollande,-2.6442142,11.063256,6.0,"meer, avez, haarlem, ni, hollande","goût
qu'il avait, lui, pour la Hollande qu'elle se figurait laide et pour Versailles
qu'"
874,école du Louvre,-0.4378544,9.934014,5.0,"louvre, préfère, école, parlât, éminents","éminents que tel de ses
anciens camarades de l'école du Louvre lui parlât : « Je préfère cent
"
875,« ennuyeux ,-2.91727,7.5222807,5.0,"malgré, désir, invitation, manquer, ennuyeux","désir de ne pas
manquer une invitation chez des « ennuyeux », sans doute aussi, et
malgré toutes"
876,"Odette
leur",-2.9752355,10.31905,5.0,"quelle, demandé, inviter, différence, quoiqu","Quelle différence avec un « nouveau » qu'Odette
leur avait demandé d'inviter, quoiqu'elle ne l'eût"
877,comte de Forcheville !,-1.6686561,9.011346,5.0,"forcheville, comte, espoir, trouva, fondaient","
sur lequel ils fondaient beaucoup d'espoir, le comte de Forcheville ! (Il
se trouva qu'il était justement le"
878,Forcheville,-4.7594905,8.989571,13.591663046625438,"peintre, verdurin, odette, adressée, forcheville","monde riche et relativement aristocratique.) Sans
doute Forcheville était grossièrement snob, alors que Swann ne l'était"
879,Sorbonne,-4.526893,9.230337,7.741657386773941,"avions, brichot, cours, professeur, sorbonne","en dehors des habitués, un professeur
de la Sorbonne, Brichot, qui avait rencontré M. et Mme"
880,Brichot,-4.789078,8.970195,20.401219466856727,"reprit, sorbonne, cottard, verdurin, brichot","des habitués, un professeur
de la Sorbonne, Brichot, qui avait rencontré M. et Mme Verdurin"
881,"Mme Verdurin
aux eaux",-3.5835912,9.334677,5.0,"ses, travaux, sorbonne, universitaires, fonctions","Sorbonne, Brichot, qui avait rencontré M. et Mme Verdurin
aux eaux et, si ses fonctions universitaires et ses travaux d'"
882,"Mme Verdurin
de",-1.8271043,9.029474,5.0,"chercher, brillants, affectait, supérieurs, comparaisons",", brillants, et même supérieurs. Il affectait chez Mme Verdurin
de chercher ses comparaisons dans ce qu'il y avait de"
883,M. de Forcheville,-3.8639648,9.690213,7.464101615137754,"quelqu, répondit, tansonville, venait, forcheville","resté.
Dès le commencement du repas, comme M. de Forcheville,
placé à la droite de Mme Verdurin"
884,« blanche ,-4.1113186,6.540295,5.0,"nez, lever, contact, vol, saisit","contact
avec lui, saisit au vol le mot « blanche » et, sans lever le nez de
son"
885,"Forcheville
",-1.9008538,8.933807,6.0,"particule, francillon, intrigue, supprimé, forcheville","sourire, témoigna qu'il jugeait ce calembour stupide, Forcheville
avait montré à la fois qu'il en goûtait la"
886,Blanche de Castille,-4.0496616,6.4113793,5.414213562373095,"excuser, ose, chipie, blanche, castille","que le docteur parlait de
cette vieille chipie de Blanche de Castille, si j'ose m'exprimer ainsi. N'est"
887,Madame ?,-1.123532,9.64236,5.414213562373095,"exprimer, excellente, madame, demanda, aigrement","exprimer ainsi. N'est-il
pas vrai, Madame ? » demanda Brichot à Mme Verdurin
qui"
888,"Mme Verdurin
qui",-1.5883033,9.837204,5.0,"brichot, figure, fermés, précipita, pâmant","vrai, Madame ? » demanda Brichot à Mme Verdurin
qui, pâmant, les yeux fermés, précipita sa figure"
889,"Madame, je ne voudrais pas alarmer les âmes
respectueuses",-3.7713645,9.81796,5.0,"cris, âmes, étouffés, respectueuses, alarmer","
des cris étouffés. « Mon Dieu, Madame, je ne voudrais pas alarmer les âmes
respectueuses s'il y en a autour de cette table,"
890,Suger,-5.551163,7.7828684,5.0,"autres, fit, bernard, saumâtres, suger","en fit d'ailleurs voir de saumâtres, comme dit Suger et autres
saint Bernard ; car avec elle"
891,Brichot ?,-2.6414335,10.695027,5.0,"brichot, connaissez, célèbre, fameux, europe","— Comment, vous ne connaissez pas le fameux Brichot ?
il est célèbre dans toute l'Europe.
"
892,l'Europe,-2.8852904,10.726891,8.123105625617661,"familles, mécontentement, centrale, alliée, europe","fameux Brichot ?
il est célèbre dans toute l'Europe.
— Ah ! c'est Bréchot"
893,Bréchot,-2.7946765,10.725766,5.0,"ah, écria, forcheville, europe, bréchot","Europe.
— Ah ! c'est Bréchot, s'écria Forcheville qui n'avait
pas bien"
894,"vigoureuse
",-2.575436,10.977389,5.0,"professeur, réelle, enviée, nourrie, vigoureuse","avec une intelligence réelle. Et celle du professeur, vigoureuse
et bien nourrie, aurait probablement pu être enviée par"
895,Henri Plantagenet,-0.12249829,6.7566156,5.0,"blanche, épouser, henri, castille, plantagenet","
Blanche de Castille qui « avait été avec Henri Plantagenet des années
avant de l'épouser »,"
896,"interrompit
Cottard",-2.1893282,4.1578236,5.0,"hauteur, levant, gravité, simulée, institution","… à la hauteur d'une institution », interrompit
Cottard en levant les bras avec une gravité simulée.
"
897,La Ronde,-5.2463446,9.075951,5.414213562373095,"protestation, provoqué, régentes, truc, ronde","pas
plus moyen de découvrir le truc que dans La Ronde ou Les Régentes
et c'est encore plus fort"
898,Les Régentes,-5.3399134,9.026713,5.0,"découvrir, ronde, patte, régentes, truc","moyen de découvrir le truc que dans La Ronde ou Les Régentes
et c'est encore plus fort comme patte que"
899,Hals,-5.225455,9.163955,6.23606797749979,"hôpital, imite, sublimités, fieffé, hals","est encore plus fort comme patte que Rembrandt et que Hals. Tout y est, mais
non, je"
900,rouerie,-1.3769192,10.692417,5.0,"est, miracle, éclatant, sorcier, rouerie",", c'en est sorcier, c'est de la rouerie, c'est du miracle (éclatant
tout à"
901,"La
Ronde ",-5.138224,9.050257,5.0,"fort, protestation, provoqué, ronde, blasphème","il avait dit : « plus fort que La
Ronde », blasphème qui avait provoqué une protestation de Mme"
902,Samothrace,-2.7864053,5.415599,5.0,"avec, oeuvre, univers, samothrace, neuvième","oeuvre de l'univers avec la
Neuvième et la Samothrace, et à : « fait avec du"
903,"bouche
bée",-3.5950298,10.146135,5.0,"rester, bouche, bête, as, bée","est-ce que tu as à rester comme cela, bouche
bée comme une grande bête ? dit-elle à son"
904,blague,-2.8373988,8.527706,5.732050807568877,"rencontrée, suffisant, prévost, exercée, blague","— Mais non, c'est pas de la blague, dit le peintre, enchanté
de son succès"
905,"enchanté
de son succès",-1.4509807,10.484815,5.0,"peintre, fais, enchanté, succès, blague","est pas de la blague, dit le peintre, enchanté
de son succès, vous avez l'air de croire que je fais"
906,Dumas,-3.7465022,6.0168715,6.0,"conservatoire, retentissante, surélevée, ingénue, dumas","claire, à la nouvelle et
retentissante pièce de Dumas, elle éclata d'un rire charmant d'ingénue,"
907,"dit
Forcheville",-2.7993543,10.291732,5.414213562373095,"voyons, briller, dépend, appelez, forcheville"," ? Elle a de l'esprit », dit
Forcheville.
« Non, mais nous vous en"
908,"dit
Mme Cottard",-2.2019207,10.630184,5.0,"vu, cottard, vais, paraître, provinciale"," Je vais vous paraître bien provinciale, monsieur, dit
Mme Cottard à Swann, mais je n'ai pas encore vu"
909,Francillon,-3.2636173,9.512692,5.732050807568877,"sûre, peu, exprimé, fameuse, francillon",", mais je n'ai pas encore vu cette fameuse Francillon
dont tout le monde parle. Le docteur y"
910,"Mme Cottard
",-3.6991694,9.575384,6.0,"médecins, encourager, amis, embêté, cottard","comme nous avons des amis très aimables » (Mme Cottard
prononçait rarement un nom propre et se contentait de dire"
911,Alexandre Dumas,-1.2484024,10.639858,5.0,"pièce, invité, dumas, japonaise, alexandre","japonaise, mais
en faisant mettre tout ce qu'Alexandre Dumas fils dit dans la pièce. Elle avait
invité"
912,Francillon :,-2.7975404,9.0732565,5.0,"parce, reste, crois, aimait, francillon","que c'était peut-être parce qu'il n'aimait pas Francillon :
« Du reste, je crois que j'"
913,Théâtre-Français !,-2.4419785,5.187342,5.0,"théâtre, panine, salade, serge, recette","donner
une recette de salade sur la scène du Théâtre-Français ! Tandis que Serge
Panine ! Du reste,"
914,"Serge
Panine !",-2.386549,5.298736,5.0,"français, scène, théâtre, panine, serge","la scène du Théâtre-Français ! Tandis que Serge
Panine ! Du reste, c'est comme tout ce qui vient"
915,Georges Ohnet,-0.056942903,9.965758,5.0,"écrit, vient, plume, georges, ohnet","comme tout ce qui vient de la plume de
Georges Ohnet, c'est toujours si bien écrit. Je ne"
916,"Le
Maître de Forges",-2.665074,10.575694,5.0,"connaissez, panine, serge, forges, préférerais","bien écrit. Je ne sais pas si vous connaissez Le
Maître de Forges que je préférerais encore à Serge Panine.
—"
917,Bigre !,-2.2298348,10.564884,5.0,"rencontré, ferait, voudrais, rarement, bigre","
« comme j'en ai rarement rencontré. Bigre ! je voudrais bien en avoir
autant. Il ferait"
918,M. Bréchot,-2.111317,10.448921,5.0,"excellent, valent, bréchot, numéros, prédicateur","ferait un excellent prédicateur. On peut dire qu'avec M. Bréchot,
vous avez là deux numéros qui se valent"
919,bataille de Waterloo,-0.1974166,5.4169106,5.414213562373095,"forcé, voudrez, restauration, bataille, waterloo","est stupide ; mais
à propos de la bataille de Waterloo, de tout ce que vous voudrez, et il"
920,"La
Trémoïlle",-0.6311559,7.412796,6.0,"bosse, chez, etc, fourré, trémoïlle","Cet animal-là est tout le temps fourré chez les La
Trémoïlle, chez les Laumes, chez tout ça !"
921,Palais de l'industrie,-2.166042,6.960595,5.0,"public, monument, industrie, buste, arrêterait","pour un monument, qu'un
buste pour le Palais de l'industrie, devant lequel le public s'arrêterait
certainement pour"
922,La Trémoïlle,-0.36186165,7.3397083,7.60555127546399,"rattrapait, intransigeance, parlez, cartier, trémoïlle","l'imprescriptible
dignité des Verdurin opposée à celle des La Trémoïlle et des Laumes qu'ils
valent certes ainsi que"
923,collidor,-1.5503865,9.44186,5.0,"ignorant, ivre, paierait, corridor, collidor","ivre et le mari si
ignorant qu'il disait collidor pour corridor.
« On me paierait bien"
924,corridor,-1.6030649,9.506663,5.0,"cher, ignorant, paierait, corridor, collidor","le mari si
ignorant qu'il disait collidor pour corridor.
« On me paierait bien cher que"
925,"Forcheville :
« Dame",-1.9225368,8.381293,5.0,"moins, duchesse, dame, forcheville, répondait","»
Mais que ne répondait-il du moins comme Forcheville :
« Dame, c'est une duchesse ; il y a"
926,"Mme Verdurin
de répliquer : « Grand",-2.333246,10.73546,5.0,"au, lieu, fasse, permis, répliquer"," », ce qui avait permis au moins à Mme Verdurin
de répliquer : « Grand bien leur fasse ! » Au lieu de"
927,Fénelon,-2.9174564,7.720347,6.0,"définition, anarchiste, doux, intelligence, fénelon","bien curieuse de l'intelligence dans ce doux anarchiste de Fénelon…
— Écoutez ! dit à Forcheville"
928,La Trémouaille,-2.308419,4.1838264,5.0,"ces, verdurin, hauteur, trémouaille, montrés","pas à la hauteur.
— Ces de La Trémouaille que Mme Verdurin
nous a montrés comme si"
929,Mme de Sévigné,-4.6566243,9.464941,9.291502622129181,"citant, mère, maman, volume, sévigné",", descendent-ils de ceux que cette bonne snob de Mme de Sévigné
avouait être heureuse de connaître parce que cela faisait"
930,"Mme de la
Trémouaille",-0.272684,8.098684,5.0,"envoyait, alliances, régulièrement, trémouaille, documentée","qu'elle envoyait régulièrement à sa fille, c'est Mme de la
Trémouaille, bien documentée par ses grandes alliances, qui faisait"
931,duc de La Trémoïlle,-0.42811587,7.4247956,6.0,"recherché, tombés, résultait, duc, trémoïlle","d'un dîner qu'il
avait fait avec le duc de La Trémoïlle et d'où il résultait que celui-ci ne
savait"
932,Mme de Crécy ,-0.4897203,10.41038,5.0,"verdurin, oeil, crécy, parlons, américain","oeil américain, celle-là ! Nous parlons de Mme de Crécy »,
dit-il à M. Verdurin qui"
933,duc d'Aumale,-0.17228745,7.0561843,7.464101615137754,"princesse, chantilly, mathilde, duc, aumale","Il
faut que j'aille entretenir un instant le duc d'Aumale », de sorte que la
quinte de"
934,Merci madame,-2.5132167,10.369387,5.0,"forcheville, quatre, déclara, merci, troupier","comme quatre, déclara Forcheville à Mme Cottard. Merci madame. Un
vieux troupier comme moi, ça ne"
935,Bois ,-1.5735202,9.797944,5.414213562373095,"voulez, dîners, gentil, ennuie, bois","ne vous ennuie pas, les petits dîners
au Bois ? Bien, bien, ce sera très gentil."
936,Putbus ,0.16706353,9.462912,5.0,"moment, croisades, soigne, baronne, putbus","Je soigne en ce moment une baronne, la baronne Putbus ;
les Putbus étaient aux Croisades, n'est"
937,Putbus,0.089732006,9.423865,6.645751311064591,"prude, cataclysmes, gaillardises, baronne, putbus","une baronne, la baronne Putbus ;
les Putbus étaient aux Croisades, n'est-ce pas ?"
938,Croisades,0.20346469,9.530493,5.0,"étaient, ont, baronne, croisades, putbus","la baronne Putbus ;
les Putbus étaient aux Croisades, n'est-ce pas ? Ils ont,"
939,Poméranie,-4.7560353,6.1681128,5.0,"est, ont, dix, lac, poméranie","n'est-ce pas ? Ils ont, en Poméranie, un
lac qui est grand comme dix fois"
940,place de la Concorde,-3.4267204,5.1557407,6.0,"jets, arthrite, obus, place, concorde","un
lac qui est grand comme dix fois la place de la Concorde. Je la soigne pour de
l'arthrite sèche"
941,Sonates” ?,-1.506917,9.276319,5.0,"moins, demanda, forcheville, serpent, sonates","n'est pas au moins le “Serpent
à Sonates” ? » demanda M. de Forcheville pour faire"
942,triomphal,-2.3406377,9.202416,5.0,"expliqua, calembour, impatient, zélé, triomphal",", dit-il d'un ton zélé, impatient et triomphal.
Forcheville lui expliqua le calembour. Le docteur"
943,"répondit
Cottard",-3.2198517,10.272864,5.414213562373095,"connais, effrayant, répondit, cottard, turent","! je le connais depuis si longtemps », répondit
Cottard.
Mais ils se turent ; sous l'"
944,"protégée
",-4.126198,6.64909,5.0,"incessant, déferlement, protégée, gracieuse, transparent","petite phrase venait d'apparaître, lointaine, gracieuse, protégée
par le long déferlement du rideau transparent, incessant et"
945,Mme La Trémoïlle ?,-0.5943819,8.434534,5.0,"avons, rire, remarqué, trémoïlle, niais","d'un rire niais quand
nous avons parlé de Mme La Trémoïlle ? »
Elle avait remarqué que devant ce nom"
946,Forcheville !,-1.8487531,9.684457,5.0,"forcheville, différence, chou, carrément, chèvre","la chèvre et le chou. Quelle
différence avec Forcheville ! Voilà au moins un homme qui vous dit
carrément"
947,comte de Forcheville,-1.1022841,9.792863,5.414213562373095,"ajouta, titre, société, forcheville, comte","l'autre a son titre ; il est toujours comte de Forcheville », ajouta-t-il
d'un air"
948,"– chatoyant amalgame d'éléments
inconnus et diaboliques, serti",0.33572254,8.092246,5.0,"diaboliques, amalgame, opposer, personnification, chatoyant","opposer cette
personnification étrange : la femme entretenue – chatoyant amalgame d'éléments
inconnus et diaboliques, serti, comme une apparition de Gustave Moreau, de
"
949,Gustave Moreau,0.3029487,8.075953,6.23606797749979,"vénéneuses, entrelacées, diaboliques, moreau, gustave","inconnus et diaboliques, serti, comme une apparition de Gustave Moreau, de
fleurs vénéneuses entrelacées à des joyaux précieux"
950,Saint-Cloud,-4.930891,7.100629,7.3166247903554,"bois, feuilles, saint, mortes, cloud","été
qu'ils affectionnaient au Bois et surtout à Saint-Cloud, il allait dîner dans
quelqu'une de ces"
951,princesse de Parme,-4.7163024,8.949506,13.643650760992955,"bornée, guermantes, procurée, princesse, parme","D, palier à gauche, que pour
la princesse de Parme qui donnait les plus belles fêtes de Paris ;"
952,"étang
cerné de myosotis",-4.287706,5.959717,5.0,"dînait, cerné, charmille, étang, glaïeuls","une charmille autant de fraîcheur qu'au bord de l'étang
cerné de myosotis et de glaïeuls, et où, quand il dînait"
953,"île
du Bois",-4.8026805,6.6481986,5.414213562373095,"ressentir, finirait, servît, bois, île","on servît le café pour rejoindre les Verdurin dans l'île
du Bois) dit :
« Vraiment, si"
954,île des Cygnes,-4.738915,6.6822286,5.414213562373095,"bretagne, trouverait, cloud, île, cygnes","à Combray, il le trouverait du moins dans l'île des Cygnes ou à
Saint-Cloud. Mais comme il ne pouvait"
955,"Cottard :
«",-1.7770646,10.528982,5.0,"cottard, peintre, fidèles, devant, banquet","maintenant un des fidèles, devant le peintre, devant Cottard :
« Oui, je sais que vous avez votre banquet"
956,terre,-4.189396,5.7175527,7.60555127546399,"croisée, sportif, assigne, ciel, terre","seuls biens à la possession desquels il tînt maintenant sur terre.
Aussi, après ce dîner, la prenant"
957,victoria ,-4.8787484,6.195695,5.0,"sa, victoria, disposition, reconduire, proposa",",
il n'avait à sa disposition que sa victoria ; un ami lui proposa de le
reconduire chez"
958,"pointe
des pieds",-5.27272,8.251036,5.0,"montrer, pieds, pointe, frappa, haussa","montrer qu'il savait. Il se haussa sur la pointe
des pieds. Il frappa. On n'avait pas entendu,"
959,Turc,-4.5625205,9.121639,5.732050807568877,"dépens, eux, tassé, tête, turc","chez eux, eût voulu le prendre comme tête de Turc et briller
devant eux à ses dépens, soit"
960,"Forcheville
répondit",-3.3154988,10.774789,5.0,"moments, saniette, gêné, grossièreté, maladroit","gêné à certains moments rien que de sa présence, Forcheville
répondit à ce propos maladroit de Saniette avec une telle grossièreté"
961,Vérité,-4.092512,9.248204,5.0,"certes, sa, vérité, ressemblance, dérober","
sa part et y dérober sa ressemblance à la Vérité. Certes quand Odette venait de
faire quelque chose"
962,actes d'Odette,-0.26915026,9.633418,5.0,"donner, actes, baisers, guérie, redeviendraient",", et que, quand celle-ci serait guérie, les actes d'Odette,
les baisers qu'elle aurait pu donner redeviendraient"
963,Primavera,-2.8538442,5.74167,5.732050807568877,"bella, vanna, campanules, abattu, primavera",", les figures de femmes du peintre
de la Primavera. Elle avait en ce moment leur visage abattu et"
964,Jésus,-1.6662368,6.4183874,6.449489742783178,"attentions, discutailler, jessé, trempe, jésus","pour elles, simplement quand
elles laissent l'enfant Jésus jouer avec une grenade ou regardent Moïse verser
de"
965,Moïse,0.7386583,7.118719,6.23606797749979,"galopent, quadriges, perchés, nil, moïse","laissent l'enfant Jésus jouer avec une grenade ou regardent Moïse verser
de l'eau dans une auge. Il"
966,"Odette de
Forcheville",-5.0353384,8.87565,5.0,"midi, voulut, emmener, éloigner, apportait","Mais là tout lui en apportait. Il voulut éloigner Odette de
Forcheville, l'emmener quelques jours dans le Midi. Mais"
967,Midi,-4.6148605,8.404328,7.16227766016838,"pins, humiliée, seringas, nord, midi","de
Forcheville, l'emmener quelques jours dans le Midi. Mais il croyait qu'elle
était désirée par"
968,Odette ?,-2.1782494,9.056475,5.414213562373095,"possible, jalousie, amant, odette, cultivez","quand dans tout homme il voyait un amant possible pour Odette ? Et ainsi
sa jalousie, plus encore que n'"
969,"Mme Verdurin
et plusieurs des invités",-3.0286794,8.591378,5.0,"crut, pianiste, préparait, remarqua, conciliabules","se préparait à partir, il remarqua des conciliabules entre Mme Verdurin
et plusieurs des invités et crut comprendre qu'on rappelait au pianiste de
"
970,Chatou ,-3.0936992,6.6463113,5.0,"venir, partie, lendemain, pianiste, chatou","pianiste de
venir le lendemain à une partie à Chatou ; or, lui, Swann, n'y était"
971,"Clair
de lune",-4.9809217,6.9175477,5.0,"sonate, lune, faudra, obscurité, éclairer","ne faudra aucune lumière et qu'il joue la sonate Clair
de lune dans l'obscurité pour mieux voir s'éclairer les choses"
972,Chatou,-3.4490204,6.8835835,6.23606797749979,"emmenaient, meulan, demain, lendemain, chatou",", obtenir qu'elle n'allât pas le lendemain à Chatou ou qu'elle l'y fît
inviter, et"
973,"après-demain
chez moi.",-1.322427,10.032525,5.0,"après, verdurin, firent, chatou, demain"," : « À demain à Chatou, à après-demain
chez moi. »
M. et Mme Verdurin firent"
974,Françoise à Combray,-4.177095,7.418156,5.0,"besoin, mourir, obscur, justifier, poulet","au même besoin obscur de se justifier
– comme Françoise à Combray quand le poulet ne voulait pas mourir – les mots"
975,Chatou !,-2.8468585,5.739833,5.732050807568877,"retrouvaient, merciers, demain, moyen, chatou",". « D'abord cette idée d'aller à Chatou ! Comme des merciers
qui viennent de fermer leur boutique"
976,"col
de sa chemise",-4.202961,6.4701576,5.0,"créature, col, chemise, grimace, révulsé","de sa grimace jusque dans son cou révulsé contre le col
de sa chemise. « Et comment une créature dont le visage"
977,clapotent,0.22906014,7.8714314,5.0,"sales, altitude, papotages, clapotent, clabaudent","de milliers de mètres d'altitude au-dessus des bas-fonds où clapotent et
clabaudent de tels sales papotages, pour que"
978,« Dieu,-4.0715814,9.659316,5.414213562373095,"redressant, témoin, éloignés, fièrement, dieu",", en
redressant fièrement son corps en arrière. « Dieu m'est témoin que j'ai
sincèrement voulu tirer"
979,"Clair de
lune",-4.985632,7.0246487,5.0,"lune, pianiste, prêt, effrayant, mines","
Il voyait le pianiste prêt à jouer la sonate Clair de
lune et les mines de Mme Verdurin s'effrayant du"
980,Beethoven,-4.7612348,9.042167,8.242640687119284,"réalisant, oeuvre, ses, quatuors, beethoven","Verdurin s'effrayant du mal que la
musique de Beethoven allait faire à ses nerfs : « Idiote"
981,Art !,-3.6469252,9.157982,5.0,"écria, art, aimer, dirait, croit","s'écria-t-il, et ça croit aimer l'Art ! » Elle dirait à Odette,
après lui"
982,Platon,-1.7315816,6.587968,7.3166247903554,"fiancer, rassurait, socrate, virgile, platon","bon à la sévérité
contre les arts, de Platon, de Bossuet, et de la vieille éducation française"
983,Bossuet,-3.9228132,9.613172,5.732050807568877,"sévérité, travaille, éloquence, 458quand, bossuet","sévérité
contre les arts, de Platon, de Bossuet, et de la vieille éducation française.
En"
984,auguste,-1.6350918,6.8866806,6.0,"déposer, réfère, tiare, nuptiale, auguste","cercle de Dante. Nul
doute que le texte auguste ne se réfère aux Verdurin ! Au fond,"
985,Verdurin !,-2.6227756,8.997952,5.414213562373095,"texte, abîmes, réfère, mégère, verdurin","
doute que le texte auguste ne se réfère aux Verdurin ! Au fond, comme les
gens du monde,"
986,Noli,-3.971205,4.8123007,5.0,"germain, doigts, divination, tangere, noli","de leurs doigts ! Quelle divination dans
ce Noli me tangere du faubourg Saint-Germain ! » Il"
987,Saint-Germain !,-3.9673615,4.708231,5.0,"faubourg, germain, divination, noli, tangere","Quelle divination dans
ce Noli me tangere du faubourg Saint-Germain ! » Il avait
quitté depuis bien longtemps les"
988,"Swann
chez",-2.9353676,7.7801614,5.0,"salon, voix, question, réuni, 070alors","sa voix. Et il ne fut plus question de Swann
chez les Verdurin.
070Alors ce salon qui avait réuni"
989,Une nuit de Cléopâtre,-4.1546364,9.300215,5.414213562373095,"devaient, comique, résiste, nuit, cléopâtre","
devaient l'emmener à l'Opéra-Comique voir Une nuit de Cléopâtre et Swann
lisait dans les yeux d'Odette cet"
990,"Swann
",-4.197291,9.018127,6.645751311064591,"concurrence, parcelles, repeindre, odette, swann","l'Opéra-Comique voir Une nuit de Cléopâtre et Swann
lisait dans les yeux d'Odette cet effroi qu'il"
991,Victor Massé !,-5.0898595,9.476833,5.0,"victor, devenir, spontanément, massé, éliminer","pas su devenir assez une autre
pour éliminer spontanément Victor Massé ! Surtout pour ne pas être arrivée
à comprendre qu'"
992,"comprendrai
que tu n'es pas une personne",-3.5362222,10.197365,5.0,"tu, séduisante, comprendrai, rendra, es","mais te rendra moins séduisante à mes yeux quand je comprendrai
que tu n'es pas une personne, que tu es au-dessous de toutes les"
993,"Une nuit de
Cléopâtre",-3.9000988,9.136469,5.0,"lèvres, renoncer, cléopâtre, souiller, obliges","demander comme une chose sans importance, de renoncer à Une nuit de
Cléopâtre (puisque tu m'obliges à me souiller les lèvres"
994,Ouverture !,-3.1500921,10.149813,5.0,"manquer, finir, ouverture, confus, obstiné","obstiné et confus, « finir par manquer l'Ouverture ! ».
D'autres fois il lui disait"
995,Compiègne,-4.5407066,7.4610143,6.449489742783178,"tombeaux, dreux, conférer, coula, compiègne","l'emmenaient voir les tombeaux de Dreux, ou à Compiègne admirer, sur
le conseil du peintre, des"
996,château de Pierrefonds,-4.3991933,7.4928136,5.414213562373095,"visiter, poussait, entourait, château, pierrefonds","soleil en forêt, et on poussait jusqu'au
château de Pierrefonds.
« Penser qu'elle pourrait visiter de"
997,Saint-Loup-de-Naud des gens de la plus,-3.7857509,5.522812,5.0,"mener, beauvais, ferais, supplié, naud","le temps
supplié de mener à Beauvais ou à Saint-Loup-de-Naud des gens de la plus haute
valeur et ne le ferais que pour elle"
998,Viollet-le-Duc !,-0.23771091,6.1185913,5.0,"semble, philippe, devant, viollet, déjections","devant les déjections de
Louis-Philippe et devant celles de Viollet-le-Duc ! Il me semble qu'il n'y
a pas"
999,Dreux,-4.377899,7.385121,5.0,"partie, hélas, permettre, pierrefonds, dreux",". »
Mais quand elle était partie pour Dreux ou pour Pierrefonds
– hélas, sans lui permettre"
1000,"Pierrefonds
",-4.354915,7.383262,5.0,"partie, hélas, permettre, pierrefonds, dreux","
Mais quand elle était partie pour Dreux ou pour Pierrefonds
– hélas, sans lui permettre d'y aller,"
1001,Pierrefonds,-4.701048,7.8907094,6.82842712474619,"dix, heures, justement, aller, pierrefonds","heures du matin partait un train qui
arrivait à Pierrefonds à dix heures, c'est donc qu'aller à"
1002,"rencontrer
Odette",-3.0502236,7.742533,5.0,"puisque, désir, rencontrer, connaissaient, motif","pouvait avoir un tout autre motif que le désir de rencontrer
Odette, puisque des gens qui ne la connaissaient pas l'"
1003,forêt de Compiègne,-4.642127,6.821234,5.0,"chance, forêt, éprouvait, compiègne, impérieux","
éprouvait l'impérieux désir d'une promenade dans la forêt de Compiègne.
Ce n'était vraiment pas de chance qu'"
1004,marquis de,-0.87492883,8.597508,6.23606797749979,"hypothéqué, projetée, saint, loup, marquis","
faire emmener par un de ses amis, le marquis de Forestelle, qui avait un
château dans le voisinage"
1005,consentît,-3.4408689,6.846135,5.0,"ans, puisqu, quinze, propriété, consentît","Swann, pour la première fois depuis quinze ans, consentît enfin à venir voir sa
propriété et, puisqu'"
1006,M. de Forestelle,-4.3447146,8.971381,6.0,"imaginait, prenons, odette, multiplié, forestelle","jours. Swann s'imaginait déjà là-bas avec M. de Forestelle. Même
avant d'y voir Odette, même"
1007,Décidément,-3.1018646,8.997255,5.0,"cher, décidément, valait, brouiller, risquer",", de cet amour qui lui était si cher. Décidément
il valait mieux ne pas risquer de se brouiller"
1008,"forêt de
Compiègne",-4.709189,7.446986,5.0,"forêt, journées, compiègne, penché, carte","Il passait ses journées penché sur une carte de la forêt de
Compiègne comme si ç'avait été la carte du Tendre,"
1009,Tendre,-4.448721,7.506201,5.0,"tendre, photographies, entourait, pierrefonds, compiègne","
Compiègne comme si ç'avait été la carte du Tendre, s'entourait de photographies
du château de Pierrefonds"
1010,Dieu ,-3.9601479,9.735023,5.414213562373095,"revoir, écriait, dise, dieu, acharnés","s'écriait : « À la grâce de Dieu »,
comme ceux qui après s'être acharnés"
1011,Philibert le Beau,-3.4779065,5.9802227,5.0,"église, accomplir, philibert, initiales, brou","
les accomplir sans elle, comme ces initiales de Philibert le Beau que dans l'église
de Brou, à cause"
1012,"église
de Brou",-3.33919,5.774251,5.0,"église, regret, philibert, initiales, brou","comme ces initiales de Philibert le Beau que dans l'église
de Brou, à cause du regret qu'elle avait de lui"
